가	k a
두루	t u ɾ u
두른	t u ɾ ɯ n
두리번두리번	t u ɾ i b ʌ n t u ɾ i b ʌ n
두리서	t u ɾ i s ʌ
두발	t u b a l
두발가이늬	t u b a l k a i n i
두부와	t u b u w a
두시를	t u s i ɾ ɯ l
두어	t u ʌ
두얻떤	t u ʌ t̚ t͈ ʌ n
둘	t u l
둘도	t u l t o
둘째	t u l t͡ɕ͈ ɛ
둥그러케	t u ŋ k ɯ ɾ ʌ kʰ e
둥글게	t u ŋ k ɯ l k e
둬	t w ʌ
뒤	t w i
뒤끌키	t w i k͈ ɯ l kʰ i
뒤도	t w i d o
뒤로	t w i ɾ o
뒤로부터	t w i ɾ o b u tʰ ʌ
뒤를	t w i ɾ ɯ l
뒤범버기	t w i b ʌ m p ʌ g i
뒤설레는	t w i s ʌ l l e n ɯ n
뒤설렌다	t w i s ʌ l l e n t a
뒤에	t w i e
뒤에는	t w i e n ɯ n
뒤에도	t w i e d o
뒤에야	t w i e j a
뒤저	t w i d͡ʑ ʌ
뒤적뛰저카고	t w i d͡ʑ ʌ k̚ t͈ w i d͡ʑ ʌ kʰ a g o
뒤지는	t w i d͡ʑ i n ɯ n
뒤쪼차	t w i t͡ɕ͈ o t͡ɕʰ a
뒤충	t w i t͡ɕʰ u ŋ
뒤틀며	t w i tʰ ɯ l m j ʌ
뒨모양을	t w i n m o j a ŋ ɯ l
뒨문	t w i n m u n
뒫똥사늬	t w i t̚ t͈ o ŋ s a n i
드	t ɯ
드디어	t ɯ d i ʌ
드러	t ɯ ɾ ʌ
드러가	t ɯ ɾ ʌ g a
드러가게	t ɯ ɾ ʌ g a k e
드러가고	t ɯ ɾ ʌ g a k o
드러가는	t ɯ ɾ ʌ g a n ɯ n
드러가는데	t ɯ ɾ ʌ g a n ɯ n t e
드러가던	t ɯ ɾ ʌ g a d ʌ n
드러가면	t ɯ ɾ ʌ g a m j ʌ n
드러가서	t ɯ ɾ ʌ g a s ʌ
드러가심니다	t ɯ ɾ ʌ g a s i m n i d a
드러가자마자	t ɯ ɾ ʌ g a d͡ʑ a m a d͡ʑ a
드러간건마는	t ɯ ɾ ʌ g a n k ʌ n m a n ɯ n
드러간다	t ɯ ɾ ʌ g a n t a
드러간다는	t ɯ ɾ ʌ g a n t a n ɯ n
드러갇따	t ɯ ɾ ʌ g a t̚ t͈ a
드러갈른지	t ɯ ɾ ʌ g a l l ɯ n t͡ɕ i
드러낟따	t ɯ ɾ ʌ n a t̚ t͈ a
드러내어도	t ɯ ɾ ʌ n ɛ ʌ d o
드러눔느다	t ɯ ɾ ʌ n u m n ɯ d a
드러도	t ɯ ɾ ʌ d o
드러보라구	t ɯ ɾ ʌ b o ɾ a g u
드러선	t ɯ ɾ ʌ s ʌ n
드러섣따	t ɯ ɾ ʌ s ʌ t̚ t͈ a
드러쓰나	t ɯ ɾ ʌ s͈ ɯ n a
드러쓸	t ɯ ɾ ʌ s͈ ɯ l
드러안는	t ɯ ɾ ʌ a n n ɯ n
드러안잗끼가	t ɯ ɾ ʌ a n t͡ɕ a t̚ k͈ i g a
드러안잗따	t ɯ ɾ ʌ a n t͡ɕ a t̚ t͈ a
드러오는	t ɯ ɾ ʌ o n ɯ n
드러오니	t ɯ ɾ ʌ o n i
드러오며	t ɯ ɾ ʌ o m j ʌ
드러온	t ɯ ɾ ʌ o n
드러와	t ɯ ɾ ʌ w a
드러왇따	t ɯ ɾ ʌ w a t̚ t͈ a
드러잔다	t ɯ ɾ ʌ d͡ʑ a n t a
드럳꼬요	t ɯ ɾ ʌ t̚ k͈ o j o
드럳따	t ɯ ɾ ʌ t̚ t͈ a
드려논는	t ɯ ɾ j ʌ n o n n ɯ n
드려다보는	t ɯ ɾ j ʌ d a b o n ɯ n
드려다보앋따	t ɯ ɾ j ʌ d a b o a t̚ t͈ a
드려다볼	t ɯ ɾ j ʌ d a b o l
드려대지를	t ɯ ɾ j ʌ d ɛ d͡ʑ i ɾ ɯ l
드려마셛따	t ɯ ɾ j ʌ m a s j ʌ t̚ t͈ a
드려야	t ɯ ɾ j ʌ j a
드르라	t ɯ ɾ ɯ l a
드르며	t ɯ ɾ ɯ m j ʌ
드른	t ɯ ɾ ɯ n
드릐	t ɯ ɾ i
드리겓씀니다	t ɯ ɾ i g e t̚ s͈ ɯ m n i d a
드리마시고	t ɯ ɾ i m a s i g o
드리면	t ɯ ɾ i m j ʌ n
드리켜고	t ɯ ɾ i kʰ j ʌ g o
드린다	t ɯ ɾ i n t a
드시	t ɯ s i
드타다	t ɯ tʰ a d a
드타여	t ɯ tʰ a j ʌ
드타엳따	t ɯ tʰ a j ʌ t̚ t͈ a
드탄	t ɯ tʰ a n
든	t ɯ n
든는	t ɯ n n ɯ n
든는다	t ɯ n n ɯ n t a
든다	t ɯ n t a
듣	t ɯ t̚
듣꼬	t ɯ t̚ k͈ o
듣꼬야	t ɯ t̚ k͈ o j a
듣끼	t ɯ t̚ k͈ i
듣씹따	t ɯ t̚ s͈ i p̚ t͈ a
듣찌	t ɯ t̚ t͡ɕ͈ i
들	t ɯ l
들고	t ɯ l k o
들고서	t ɯ l k o s ʌ
들려	t ɯ l l j ʌ
들려고	t ɯ l l j ʌ g o
들려왇씀니다	t ɯ l l j ʌ w a t̚ s͈ ɯ m n i d a
들려요	t ɯ l l j ʌ j o
들렫따	t ɯ l l j ʌ t̚ t͈ a
들리는	t ɯ l l i n ɯ n
들리면	t ɯ l l i m j ʌ n
들리얻따	t ɯ l l i ʌ t̚ t͈ a
들리지	t ɯ l l i d͡ʑ i
들린	t ɯ l l i n
들린다	t ɯ l l i n t a
들릴	t ɯ l l i l
들며	t ɯ l m j ʌ
들면서부터	t ɯ l m j ʌ n s ʌ b u tʰ ʌ
들자	t ɯ l t͡ɕ a
들창	t ɯ l t͡ɕʰ a ŋ
등	t ɯ ŋ
등뒤를	t ɯ ŋ t w i ɾ ɯ l
등뿌를	t ɯ ŋ p͈ u ɾ ɯ l
등에	t ɯ ŋ e
등은	t ɯ ŋ ɯ n
등잔	t ɯ ŋ t͡ɕ a n
등허리에서	t ɯ ŋ h ʌ ɾ i e s ʌ
따	t͈ a
따가안는다	t͈ a g a a n n ɯ n t a
따가워지믈	t͈ a g a w ʌ d͡ʑ i m ɯ l
따라	t͈ a ɾ a
따라갇따	t͈ a ɾ a g a t̚ t͈ a
따라서	t͈ a ɾ a s ʌ
따라오는	t͈ a ɾ a o n ɯ n
따랃따	t͈ a ɾ a t̚ t͈ a
따르려다간	t͈ a ɾ ɯ l j ʌ d a g a n
따르미니라	t͈ a ɾ ɯ m i n i ɾ a
따른	t͈ a ɾ ɯ n
따른다	t͈ a ɾ ɯ n t a
따를	t͈ a ɾ ɯ l
따메	t͈ a m e
따문	t͈ a m u n
따믈	t͈ a m ɯ l
따미	t͈ a m i
따시며	t͈ a s i m j ʌ
딱딱	t͈ a k̚ t͈ a k̚
딱찌	t͈ a k̚ t͡ɕ͈ i
딴노미	t͈ a n n o m i
딴사라미	t͈ a n s a ɾ a m i
딴파느로	t͈ a n pʰ a n ɯ ɾ o
딷뻐리는	t͈ a t̚ p͈ ʌ ɾ i n ɯ n
딸큼하엳따	t͈ a l kʰ ɯ m h a j ʌ t̚ t͈ a
땀	t͈ a m
땀과	t͈ a m k w a
땅도	t͈ a ŋ t o
땅에	t͈ a ŋ e
땅에서	t͈ a ŋ e s ʌ
땅연한	t͈ a ŋ j ʌ n h a n
땅을	t͈ a ŋ ɯ l
땅이라	t͈ a ŋ i ɾ a
때	t͈ ɛ
때가	t͈ ɛ g a
때까를	t͈ ɛ k͈ a ɾ ɯ l
때까지	t͈ ɛ k͈ a d͡ʑ i
때나	t͈ ɛ n a
때는	t͈ ɛ n ɯ n
때든지	t͈ ɛ d ɯ n t͡ɕ i
때때로	t͈ ɛ t͈ ɛ ɾ o
때마다	t͈ ɛ m a d a
때만	t͈ ɛ m a n
때무는	t͈ ɛ m u n ɯ n
때무니다	t͈ ɛ m u n i d a
때부터	t͈ ɛ b u tʰ ʌ
때시네	t͈ ɛ s i n e
때어	t͈ ɛ ʌ
때에	t͈ ɛ e
때에는	t͈ ɛ e n ɯ n
때엳씀니다	t͈ ɛ j ʌ t̚ s͈ ɯ m n i d a
때와는	t͈ ɛ w a n ɯ n
때일	t͈ ɛ i l
때처럼	t͈ ɛ t͡ɕʰ ʌ ɾ ʌ m
땡그랑	t͈ ɛ ŋ k ɯ ɾ a ŋ
땡비가치	t͈ ɛ ŋ p i g a t͡ɕʰ i
떠	t͈ ʌ
떠글	t͈ ʌ g ɯ l
떠나	t͈ ʌ n a
떠나게	t͈ ʌ n a g e
떠나고	t͈ ʌ n a g o
떠나야지요	t͈ ʌ n a j a d͡ʑ i j o
떠나지	t͈ ʌ n a d͡ʑ i
떠난	t͈ ʌ n a n
떠낟따	t͈ ʌ n a t̚ t͈ a
떠날	t͈ ʌ n a l
떠돈다	t͈ ʌ d o n t a
떠돌고	t͈ ʌ d o l k o
떠들며	t͈ ʌ d ɯ l m j ʌ
떠러뜨렫따	t͈ ʌ ɾ ʌ t͈ ɯ ɾ j ʌ t̚ t͈ a
떠러젇따	t͈ ʌ ɾ ʌ d͡ʑ ʌ t̚ t͈ a
떠러지는	t͈ ʌ ɾ ʌ d͡ʑ i n ɯ n
떠러진	t͈ ʌ ɾ ʌ d͡ʑ i n
떠메어	t͈ ʌ m e ʌ
떠쓸	t͈ ʌ s͈ ɯ l
떠오르고	t͈ ʌ o ɾ ɯ g o
떠오르기만	t͈ ʌ o ɾ ɯ g i m a n
떠오른다	t͈ ʌ o ɾ ɯ n t a
떠올라서	t͈ ʌ o l l a s ʌ
떠퍼	t͈ ʌ pʰ ʌ
떧따	t͈ ʌ t̚ t͈ a
떨다가	t͈ ʌ l t a g a
떨렫따	t͈ ʌ l l j ʌ t̚ t͈ a
떨리는	t͈ ʌ l l i n ɯ n
떨리얻따	t͈ ʌ l l i ʌ t̚ t͈ a
떼내느라	t͈ e n ɛ n ɯ ɾ a
떼로	t͈ e ɾ o
떼어	t͈ e ʌ
떼얻따	t͈ e ʌ t̚ t͈ a
또	t͈ o
또는	t͈ o n ɯ n
또다시	t͈ o d a s i
또라서서	t͈ o ɾ a s ʌ s ʌ
또라섣따	t͈ o ɾ a s ʌ t̚ t͈ a
또한	t͈ o h a n
똑빠로	t͈ o k̚ p͈ a ɾ o
똘려다보고	t͈ o l l j ʌ d a b o g o
똥내와	t͈ o ŋ n ɛ w a
똥혀게게	t͈ o ŋ h j ʌ g e k e
뙈쓰니	t͈ w ɛ s͈ ɯ n i
뙤자	t͈ w e d͡ʑ a
뚜껑은	t͈ u k͈ ʌ ŋ ɯ n
뚜껑의	t͈ u k͈ ʌ ŋ ɰ i
뚜껑이	t͈ u k͈ ʌ ŋ i
뚜드려	t͈ u d ɯ ɾ j ʌ
뚜려시	t͈ u ɾ j ʌ s i
뚜벅뚜벙	t͈ u b ʌ k̚ t͈ u b ʌ ŋ
뚜웅허니	t͈ u u ŋ h ʌ n i
뚤째	t͈ u l t͡ɕ͈ ɛ
뚤코	t͈ u l kʰ o
뚱	t͈ u ŋ
뛰고	t͈ w i g o
뛰기	t͈ w i g i
뛰노는	t͈ w i n o n ɯ n
뛰놀던	t͈ w i n o l t ʌ n
뛰는	t͈ w i n ɯ n
뛰어	t͈ w i ʌ
뛰어나와쓰미리라	t͈ w i ʌ n a w a s͈ ɯ m i ɾ i l a
뛰어난	t͈ w i ʌ n a n
뛰어드러라	t͈ w i ʌ d ɯ ɾ ʌ l a
뛰어왇따	t͈ w i ʌ w a t̚ t͈ a
뛴다	t͈ w i n t a
뜨	t͈ ɯ
뜨거우미	t͈ ɯ g ʌ u m i
뜨거운	t͈ ɯ g ʌ u n
뜨거워	t͈ ɯ g ʌ w ʌ
뜨겁께	t͈ ɯ g ʌ p̚ k͈ e
뜨겁또록	t͈ ɯ g ʌ p̚ t͈ o ɾ o k̚
뜨고	t͈ ɯ g o
뜨끔해지며	t͈ ɯ k͈ ɯ m h ɛ d͡ʑ i m j ʌ
뜨뜨시	t͈ ɯ t͈ ɯ s i
뜨러	t͈ ɯ ɾ ʌ
뜨러가	t͈ ɯ ɾ ʌ g a
뜨러오고	t͈ ɯ ɾ ʌ o g o
뜨러온	t͈ ɯ ɾ ʌ o n
뜨럳따	t͈ ɯ ɾ ʌ t̚ t͈ a
뜨른	t͈ ɯ ɾ ɯ n
뜨리몰리얻따	t͈ ɯ ɾ i m o l l i ʌ t̚ t͈ a
뜨리켣따	t͈ ɯ ɾ i kʰ j ʌ t̚ t͈ a
뜨서	t͈ ɯ s ʌ
뜨섣따	t͈ ɯ s ʌ t̚ t͈ a
뜨시	t͈ ɯ s i
뜨시에요	t͈ ɯ s i e j o
뜨지	t͈ ɯ d͡ʑ i
뜨타게	t͈ ɯ tʰ a g e
뜨타다가	t͈ ɯ tʰ a d a g a
뜨타던	t͈ ɯ tʰ a d ʌ n
뜨타엳따	t͈ ɯ tʰ a j ʌ t̚ t͈ a
뜨타지	t͈ ɯ tʰ a d͡ʑ i
뜬	t͈ ɯ n
뜯	t͈ ɯ t̚
뜰고	t͈ ɯ l k o
뜽을	t͈ ɯ ŋ ɯ l
띠고	t͈ i g o
띠며	t͈ i m j ʌ
띠어	t͈ i ʌ
띠어서	t͈ i ʌ s ʌ
띠얻따	t͈ i ʌ t̚ t͈ a
띤다	t͈ i n t a
라게	l a g e
라고	l a g o
라는	l a n ɯ n
라르면서도	l a ɾ ɯ m j ʌ n s ʌ d o
라메기	l a m e g i
라무랄	l a m u ɾ a l
라서며	l a s ʌ m j ʌ
라선	l a s ʌ n
라섣따	l a s ʌ t̚ t͈ a
라어	l a ʌ
라오지	l a o d͡ʑ i
라왇따	l a w a t̚ t͈ a
라을	l a ɯ l
란	l a n
랃추어	l a t̚ t͡ɕʰ u ʌ
람기고	l a m k i g o
래게	l ɛ g e
래냐	l ɛ n j a
래두르며	l ɛ d u ɾ ɯ m j ʌ
래려오기	l ɛ ɾ j ʌ o g i
래려일꼬	l ɛ ɾ j ʌ i l k͈ o
래리감꼬	l ɛ ɾ i g a m k͈ o
래미러	l ɛ m i ɾ ʌ
래미럳따	l ɛ m i ɾ ʌ t̚ t͈ a
래밀고	l ɛ m i l k o
래버린	l ɛ b ʌ ɾ i n
래버릴	l ɛ b ʌ ɾ i l
래어	l ɛ ʌ
래어서	l ɛ ʌ s ʌ
래저으면서	l ɛ d͡ʑ ʌ ɯ m j ʌ n s ʌ
래지며	l ɛ d͡ʑ i m j ʌ
랜다	l ɛ n t a
랜다는	l ɛ n t a n ɯ n
랭정히	l ɛ ŋ t͡ɕ ʌ ŋ h i
러가	l ʌ g a
러무	l ʌ m u
러어	l ʌ ʌ
러코	l ʌ kʰ o
럼기는건만치	l ʌ m k i n ɯ n k ʌ n m a n t͡ɕʰ i
럼길	l ʌ m k i l
럼치도록	l ʌ m t͡ɕʰ i d o ɾ o k̚
럼치도롱	l ʌ m t͡ɕʰ i d o ɾ o ŋ
레	l e
레게	l e g e
레딛	l e d i t̚
레하니	l e h a n i
려니	l j ʌ n i
로려본다	l o ɾ j ʌ b o n t a
로리고	l o ɾ i g o
로마는	l o m a n ɯ n
로맨티카엳떤	l o m ɛ n tʰ i kʰ a j ʌ t̚ t͈ ʌ n
로을	l o ɯ l
로이	l o i
로켇빼송보다도	l o kʰ e t̚ p͈ ɛ s o ŋ p o d a t o
로코	l o kʰ o
롤리다가	l o l l i d a g a
롤리면	l o l l i m j ʌ n
롤리면서도	l o l l i m j ʌ n s ʌ d o
롬들	l o m t ɯ l
롭찌기	l o p̚ t͡ɕ͈ i g i
료까지	l j o k͈ a d͡ʑ i
루나페	l u n a pʰ e
루피고	l u pʰ i g o
룬겨레	l u n k j ʌ ɾ e
르껻따	l ɯ k͈ j ʌ t̚ t͈ a
르끼어	l ɯ k͈ i ʌ
르러뜨린	l ɯ ɾ ʌ t͈ ɯ ɾ i n
르무에뢍의	l ɯ m u e ɾ w a ŋ ɰ i
마	m a
마가	m a g a
마가서면서	m a g a s ʌ m j ʌ n s ʌ
마견하나마	m a g j ʌ n h a n a m a
마그로	m a g ɯ ɾ o
마나도	m a n a d o
마나요	m a n a j o
마낟따	m a n a t̚ t͈ a
마네	m a n e
마네야	m a n e j a
마누라가	m a n u ɾ a g a
마누라를	m a n u ɾ a l ɯ l
마누라의	m a n u ɾ a ɰ i
마느리라	m a n ɯ ɾ i l a
마는	m a n ɯ n
마니	m a n i
마닐	m a n i l
마당	m a d a ŋ
마당에	m a d a ŋ e
마당지른	m a d a ŋ t͡ɕ i ɾ ɯ n
마동혁	m a d o ŋ h j ʌ k̚
마라	m a ɾ a
마랃따	m a ɾ a t̚ t͈ a
마랃따는	m a ɾ a t̚ t͈ a n ɯ n
마랃씀니다	m a ɾ a t̚ s͈ ɯ m n i d a
마레	m a ɾ e
마려니야	m a ɾ j ʌ n i j a
마르고	m a ɾ ɯ g o
마르기	m a ɾ ɯ g i
마르믈	m a ɾ ɯ m ɯ l
마르십씨오	m a ɾ ɯ s i p̚ s͈ i o
마른	m a ɾ ɯ n
마른치믈	m a ɾ ɯ n t͡ɕʰ i m ɯ l
마를	m a ɾ ɯ l
마리	m a ɾ i
마리다	m a ɾ i d a
마리라도	m a ɾ i l a d o
마리야	m a ɾ i j a
마리어	m a ɾ i ʌ
마리얻따	m a ɾ i ʌ t̚ t͈ a
마리오	m a ɾ i o
마리요	m a ɾ i j o
마리지	m a ɾ i d͡ʑ i
마린가	m a ɾ i n k a
마린지	m a ɾ i n t͡ɕ i
마릴지	m a ɾ i l t͡ɕ i
마믄	m a m ɯ n
마셔	m a s j ʌ
마스크	m a s ɯ kʰ ɯ
마스토도늘	m a s ɯ tʰ o d o n ɯ l
마시고	m a s i g o
마시면	m a s i m j ʌ n
마시지	m a s i d͡ʑ i
마신다고	m a s i n t a g o
마실쑤롱	m a s i l s͈ u ɾ o ŋ
마십씨오	m a s i p̚ s͈ i o
마으메	m a ɯ m e
마으메서도	m a ɯ m e s ʌ d o
마으믄	m a ɯ m ɯ n
마으믄커녕	m a ɯ m ɯ n kʰ ʌ n j ʌ ŋ
마으믈	m a ɯ m ɯ l
마으믜	m a ɯ m i
마으미	m a ɯ m i
마으미다	m a ɯ m i d a
마을	m a ɯ l
마음과	m a ɯ m k w a
마음까지	m a ɯ m k͈ a d͡ʑ i
마음껃	m a ɯ m k͈ ʌ t̚
마음도	m a ɯ m t o
마음소게서는	m a ɯ m s o g e s ʌ n ɯ n
마음소그로	m a ɯ m s o g ɯ ɾ o
마자	m a d͡ʑ a
마자드린다	m a d͡ʑ a d ɯ ɾ i n t a
마장이나	m a d͡ʑ a ŋ i n a
마저	m a d͡ʑ ʌ
마주	m a d͡ʑ u
마주보고	m a d͡ʑ u b o g o
마주섣끼가	m a d͡ʑ u s ʌ t̚ k͈ i g a
마주칠	m a d͡ʑ u t͡ɕʰ i l
마중을	m a d͡ʑ u ŋ ɯ l
마즈며	m a d͡ʑ ɯ m j ʌ
마즌	m a d͡ʑ ɯ n
마즌편	m a d͡ʑ ɯ n pʰ j ʌ n
마지막	m a d͡ʑ i m a k̚
마차	m a t͡ɕʰ a
마치	m a t͡ɕʰ i
마치겓씀니다	m a t͡ɕʰ i g e t̚ s͈ ɯ m n i d a
마치고	m a t͡ɕʰ i g o
마치지	m a t͡ɕʰ i d͡ʑ i
마침	m a t͡ɕʰ i m
마침내	m a t͡ɕʰ i m n ɛ
마키는	m a kʰ i n ɯ n
마타	m a tʰ a
마탇따	m a tʰ a t̚ t͈ a
마탇떤	m a tʰ a t̚ t͈ ʌ n
마테서	m a tʰ e s ʌ
마텯따	m a tʰ j ʌ t̚ t͈ a
마트며	m a tʰ ɯ m j ʌ
마포	m a pʰ o
막	m a k̚
막쌍	m a k̚ s͈ a ŋ
만나	m a n n a
만나고	m a n n a g o
만나는	m a n n a n ɯ n
만나자	m a n n a d͡ʑ a
만드러	m a n t ɯ ɾ ʌ
만드사	m a n t ɯ s a
만들	m a n t ɯ l
만들찌라도	m a n t ɯ l t͡ɕ͈ i ɾ a d o
만따	m a n t͈ a
만물고	m a n m u l k o
만조카여쓰밀까	m a n t͡ɕ o kʰ a j ʌ s͈ ɯ m i l k͈ a
만조칼	m a n t͡ɕ o kʰ a l
만지가	m a n t͡ɕ i g a
만지지	m a n t͡ɕ i d͡ʑ i
만큼	m a n kʰ ɯ m
만타	m a n tʰ a
만한	m a n h a n
맏께	m a t̚ k͈ e
맏끼고	m a t̚ k͈ i g o
맏따앋따	m a t̚ t͈ a a t̚ t͈ a
맏때고	m a t̚ t͈ ɛ g o
맏뽀고	m a t̚ p͈ o g o
맏뿌튼	m a t̚ p͈ u tʰ ɯ n
맏추어	m a t̚ t͡ɕʰ u ʌ
맏추얻따	m a t̚ t͡ɕʰ u ʌ t̚ t͈ a
말	m a l
말갑쓰로	m a l k a p̚ s͈ ɯ ɾ o
말고	m a l k o
말까지	m a l k͈ a d͡ʑ i
말끄세	m a l k͈ ɯ s e
말끄슬	m a l k͈ ɯ s ɯ l
말끔	m a l k͈ ɯ m
말도	m a l t o
말똥말똥	m a l t͈ o ŋ m a l t͈ o ŋ
말라	m a l l a
말라고	m a l l a g o
말라도	m a l l a d o
말라서	m a l l a s ʌ
말라진	m a l l a d͡ʑ i n
말라진다	m a l l a d͡ʑ i n t a
말라한	m a l l a h a n
말려네	m a l l j ʌ n e
말리라	m a l l i ɾ a
말만	m a l m a n
말무늘	m a l m u n ɯ l
말미아마	m a l m i a m a
말미아믄	m a l m i a m ɯ n
말소리는	m a l s o ɾ i n ɯ n
말소리를	m a l s o ɾ i l ɯ l
말쑤칸	m a l s͈ u kʰ a n
말쓰메	m a l s͈ ɯ m e
말쓰메서	m a l s͈ ɯ m e s ʌ
말쓰믄	m a l s͈ ɯ m ɯ n
말쓰미지요	m a l s͈ ɯ m i d͡ʑ i j o
말씀하시면	m a l s͈ ɯ m h a s i m j ʌ n
말씀하여	m a l s͈ ɯ m h a j ʌ
말씀한바	m a l s͈ ɯ m h a n p a
말씀해	m a l s͈ ɯ m h ɛ
말씀해주십쑈	m a l s͈ ɯ m h ɛ d͡ʑ u s i p̚ s͈ j o
말씨가	m a l s͈ i g a
말지니라	m a l t͡ɕ i n i ɾ a
말하겓씀니까	m a l h a g e t̚ s͈ ɯ m n i k͈ a
말하기	m a l h a g i
말하기는	m a l h a g i n ɯ n
말하기를	m a l h a g i ɾ ɯ l
말하는	m a l h a n ɯ n
말하되	m a l h a d w e
말하라	m a l h a ɾ a
말하며	m a l h a m j ʌ
말하엳따	m a l h a j ʌ t̚ t͈ a
말하자면	m a l h a d͡ʑ a m j ʌ n
말하지	m a l h a d͡ʑ i
맘	m a m
맘노코	m a m n o kʰ o
맘대로	m a m t ɛ ɾ o
맘대로는	m a m t ɛ ɾ o n ɯ n
망	m a ŋ
망가젇꾸뇨	m a ŋ k a d͡ʑ ʌ t̚ k͈ u n j o
망구게	m a ŋ k u g e
망논하고	m a ŋ n o n h a g o
망연히	m a ŋ j ʌ n h i
망정	m a ŋ t͡ɕ ʌ ŋ
매고	m ɛ g o
매깨나	m ɛ k͈ ɛ n a
매던	m ɛ d ʌ n
매면	m ɛ m j ʌ n
매어달려서	m ɛ ʌ d a l l j ʌ s ʌ
매어달린	m ɛ ʌ d a l l i n
매우	m ɛ u
매저서	m ɛ d͡ʑ ʌ s ʌ
맨	m ɛ n
맫빵성만한	m ɛ t̚ p͈ a ŋ s ʌ ŋ m a n h a n
맵씨를	m ɛ p̚ s͈ i ɾ ɯ l
맹세까지	m ɛ ŋ s e k͈ a d͡ʑ i
머거	m ʌ g ʌ
머거도	m ʌ g ʌ d o
머거서	m ʌ g ʌ s ʌ
머거쓴즉	m ʌ g ʌ s͈ ɯ n t͡ɕ ɯ k̚
머건나이다	m ʌ g ʌ n n a i d a
머걷따	m ʌ g ʌ t̚ t͈ a
머그며	m ʌ g ɯ m j ʌ
머그면	m ʌ g ɯ m j ʌ n
머글	m ʌ g ɯ l
머글래	m ʌ g ɯ l l ɛ
머금직또	m ʌ g ɯ m t͡ɕ i k̚ t͈ o
머러	m ʌ ɾ ʌ
머러지면	m ʌ ɾ ʌ d͡ʑ i m j ʌ n
머러진다	m ʌ ɾ ʌ d͡ʑ i n t a
머리	m ʌ ɾ i
머리가	m ʌ ɾ i g a
머리고	m ʌ ɾ i g o
머리끄시	m ʌ ɾ i k͈ ɯ s i
머리도	m ʌ ɾ i d o
머리로	m ʌ ɾ i l o
머리를	m ʌ ɾ i l ɯ l
머리마테	m ʌ ɾ i m a tʰ e
머리마틀	m ʌ ɾ i m a tʰ ɯ l
머리에	m ʌ ɾ i e
머리에서	m ʌ ɾ i e s ʌ
머릳쏘게	m ʌ ɾ i t̚ s͈ o g e
머문머무	m ʌ m u n m ʌ m u
머문머무타더니	m ʌ m u n m ʌ m u tʰ a d ʌ n i
먹께	m ʌ k̚ k͈ e
먹꼬	m ʌ k̚ k͈ o
먹꾸	m ʌ k̚ k͈ u
먹끼에	m ʌ k̚ k͈ i e
먹뙤	m ʌ k̚ t͈ w e
먹짜니까	m ʌ k̚ t͡ɕ͈ a n i k͈ a
먹찌	m ʌ k̚ t͡ɕ͈ i
먹찌를	m ʌ k̚ t͡ɕ͈ i ɾ ɯ l
먼	m ʌ n
먼저	m ʌ n t͡ɕ ʌ
먼지내	m ʌ n t͡ɕ i n ɛ
먼지를	m ʌ n t͡ɕ i ɾ ɯ l
멀리	m ʌ l l i
멀리서	m ʌ l l i s ʌ
멈추고	m ʌ m t͡ɕʰ u g o
멈춰	m ʌ m t͡ɕʰ w ʌ
멍는다	m ʌ ŋ n ɯ n t a
멍는다는	m ʌ ŋ n ɯ n t a n ɯ n
멍하니	m ʌ ŋ h a n i
메고	m e g o
메꼰코	m e k͈ o n kʰ o
메어	m e ʌ
메얻따	m e ʌ t̚ t͈ a
메엳따	m e j ʌ t̚ t͈ a
멜로디는	m e l l o d i n ɯ n
며	m j ʌ
며느릳까믈	m j ʌ n ɯ ɾ i t̚ k͈ a m ɯ l
며칠	m j ʌ t͡ɕʰ i l
면서기드리	m j ʌ n s ʌ g i d ɯ ɾ i
면장과	m j ʌ n t͡ɕ a ŋ k w a
면장은	m j ʌ n t͡ɕ a ŋ ɯ n
면장이	m j ʌ n t͡ɕ a ŋ i
면치	m j ʌ n t͡ɕʰ i
면하지	m j ʌ n h a d͡ʑ i
멷	m j ʌ t̚
멷빽	m j ʌ t̚ p͈ ɛ k̚
멸류과늘	m j ʌ l l j u g w a n ɯ l
명녕을	m j ʌ ŋ n j ʌ ŋ ɯ l
명녕이라면	m j ʌ ŋ n j ʌ ŋ i ɾ a m j ʌ n
명녕하	m j ʌ ŋ n j ʌ ŋ h a
명녕하드	m j ʌ ŋ n j ʌ ŋ h a d ɯ
명망도	m j ʌ ŋ m a ŋ t o
명성을	m j ʌ ŋ s ʌ ŋ ɯ l
명이	m j ʌ ŋ i
명이나	m j ʌ ŋ i n a
명주	m j ʌ ŋ t͡ɕ u
명처를	m j ʌ ŋ t͡ɕʰ ʌ ɾ ɯ l
명하려면	m j ʌ ŋ h a ɾ j ʌ m j ʌ n
명화칸	m j ʌ ŋ h w a kʰ a n
모	m o
모교이레	m o g j o i ɾ e
모교카여	m o g j o kʰ a j ʌ
모글	m o g ɯ l
모기	m o g i
모녀를	m o n j ʌ ɾ ɯ l
모는	m o n ɯ n
모두	m o d u
모두가	m o d u g a
모든	m o d ɯ n
모라	m o ɾ a
모라쉬며	m o ɾ a s w i m j ʌ
모래	m o ɾ ɛ
모래를	m o ɾ ɛ l ɯ l
모랴글	m o ɾ j a g ɯ l
모략꽈	m o ɾ j a k̚ k͈ w a
모레나	m o ɾ e n a
