аа	aː
гинжин	ɡ i n t͡ʃ i n
гинжит	ɡ i n t͡ʃ i tʰ
гиншинэ	ɡ i n ʃ i n ɛ
гиншээд	ɡ i n ʃ ɛː t
гишгэгджээ	ɡ i ʃ ɡ ɛ ɡ t t͡ʃ ɛː
гишгэжээ	ɡ i ʃ ɡ ɛ t͡ʃ ɛː
гишгэлэн	ɡ i ʃ ɡ ɛ ɮ ɛ n
гишгэн	ɡ i ʃ ɡ ɛ n
гишгэх	ɡ i ʃ ɡ ɛ x
гишгэхэд	ɡ i ʃ ɡ ɛ x ɛ t
гишгээд	ɡ i ʃ ɡ ɛː t
гишгүүлж	ɡ i ʃ ɡ uː ɮ t͡ʃ
гишгүүр	ɡ i ʃ ɡ uː r
гишүүддээ	ɡ i ʃ uː t t ɛː
гишүүдийн	ɡ i ʃ uː t iː n
гишүүн	ɡ i ʃ uː n
гишүүнийг	ɡ i ʃ uː n iː ɡ
гишүүнээр	ɡ i ʃ uː n ɛː r
глымов	ɡ ɮ iː m ɔ w
говийн	ɡ ɔ w iː n
говь	ɡ ɔ wʲ
говьд	ɡ ɔ wʲ t
гогцоо	ɡ ɔ ɡ t͡sʰ ɔː
год	ɡ ɔ t
годгононо	ɡ ɔ t ɡ ɔ n ɔ n ɔ
годил	ɡ ɔ t i ɮ
годон	ɡ ɔ t ɔ n
гозгонуулаад	ɡ ɔ t͡s ɡ ɔ n ʊː ɮ aː t
гозойлгон	ɡ ɔ t͡s ɔ j ɮ ɡ ɔ n
гойд	ɡ ɔ j t
гол	ɡ ɔ ɮ
голд	ɡ ɔ ɮ t
голдуу	ɡ ɔ ɮ t ʊː
голио	ɡ ɔ ɮ iɔ
голлон	ɡ ɔ ɮ ɮ ɔ n
голлоход	ɡ ɔ ɮ ɮ ɔ x ɔ t
гологдлыг	ɡ ɔ ɮ ɔ ɡ t ɮ iː ɡ
гологдов	ɡ ɔ ɮ ɔ ɡ t ɔ w
голомт	ɡ ɔ ɮ ɔ m tʰ
голомтыг	ɡ ɔ ɮ ɔ m tʰ iː ɡ
голоосоо	ɡ ɔ ɮ ɔː s ɔː
голох	ɡ ɔ ɮ ɔ x
голохгүйгээр	ɡ ɔ ɮ ɔ x ɡ u j ɡ ɛː r
голтой	ɡ ɔ ɮ tʰ ɔ j
голыг	ɡ ɔ ɮ iː ɡ
голын	ɡ ɔ ɮ iː n
гомбо	ɡ ɔ m p ɔ
гомбод	ɡ ɔ m p ɔ t
гомбоор	ɡ ɔ m p ɔː r
гомбосүрэн	ɡ ɔ m p ɔ s u r ɛ n
гомбыг	ɡ ɔ m p iː ɡ
гомбын	ɡ ɔ m p iː n
гомдмоор	ɡ ɔ m t m ɔː r
гомдож	ɡ ɔ m t ɔ t͡ʃ
гомдол	ɡ ɔ m t ɔ ɮ
гомдолгүй	ɡ ɔ m t ɔ ɮ ɡ u j
гомдоллов	ɡ ɔ m t ɔ ɮ ɮ ɔ w
гомдолтой	ɡ ɔ m t ɔ ɮ tʰ ɔ j
гомдон	ɡ ɔ m t ɔ n
гомдоогоогүйг	ɡ ɔ m t ɔː ɡ ɔː ɡ u j ɡ
гомдоож	ɡ ɔ m t ɔː t͡ʃ
гомдоохгүй	ɡ ɔ m t ɔː x ɡ u j
гомдоочихсон	ɡ ɔ m t ɔː t͡ʃʰ i x s ɔ n
гомдоочхоод	ɡ ɔ m t ɔː t͡ʃʰ x ɔː t
гомдох	ɡ ɔ m t ɔ x
гомдохооргүй	ɡ ɔ m t ɔ x ɔː r ɡ u j
гомдсон	ɡ ɔ m t s ɔ n
гонгиноод	ɡ ɔ n ɡ i n ɔː t
гонгор	ɡ ɔ n ɡ ɔ r
гондорчууд	ɡ ɔ n t ɔ r t͡ʃʰ ʊː t
гонжийн	ɡ ɔ n t͡ʃ iː n
гонир	ɡ ɔ n i r
гонсгор	ɡ ɔ n s ɡ ɔ r
гонсойвч	ɡ ɔ n s ɔ j w t͡ʃʰ
гонсойлгосон	ɡ ɔ n s ɔ j ɮ ɡ ɔ s ɔ n
гонсойлгох	ɡ ɔ n s ɔ j ɮ ɡ ɔ x
гонсойсон	ɡ ɔ n s ɔ j s ɔ n
гоо	ɡ ɔː
гоождог	ɡ ɔː t͡ʃ t ɔ ɡ
гоожсоор	ɡ ɔː t͡ʃ s ɔː r
гоол	ɡ ɔː ɮ
гоолын	ɡ ɔː ɮ iː n
гоонь	ɡ ɔː nʲ
гоочилдог	ɡ ɔː t͡ʃʰ i ɮ t ɔ ɡ
горилхийлсэн	ɡ ɔ r i ɮ x iː ɮ s ɛ n
горлосын	ɡ ɔ r ɮ ɔ s iː n
гороолсон	ɡ ɔ r ɔː ɮ s ɔ n
гортензиягийн	ɡ ɔ r tʰʲ i n t͡s i j a ɡ iː n
горхи	ɡ ɔ r x i
горхины	ɡ ɔ r x i n iː
горьгүй	ɡ ɔ rʲ ɡ u j
горьдлого	ɡ ɔ rʲ t ɮ ɔ ɡ ɔ
горькийн	ɡ ɔ rʲ kʰ iː n
гоц	ɡ ɔ t͡sʰ
гоё	ɡ ɔ j
гоёж	ɡ ɔ j t͡ʃ
гоёл	ɡ ɔ j ɮ
гоёмсгоо	ɡ ɔ j m s ɡ ɔː
гоёмсог	ɡ ɔ j m s ɔ ɡ
гоёсон	ɡ ɔ j s ɔ n
грамм	ɡ r a m m
гранатометоор	ɡ r a n a tʰ ɔ mʲ i tʰ ɔː r
грегори	ɡ rʲ i ɡ ɔ r i
грек	ɡ rʲ i kʰ
гривсыг	ɡ r i w s iː ɡ
грифитс	ɡ r i f i tʰ s
групптэй	ɡ r ʊ pʰpʰ tʰ ɛ j
групптээ	ɡ r ʊ pʰpʰ tʰ ɛː
гуай	ɡ ʊa j
гуайг	ɡ ʊa j ɡ
гуайн	ɡ ʊa j n
гуайнд	ɡ ʊa j n t
гуайнхаар	ɡ ʊa j n x aː r
гуалингаас	ɡ ʊa ɮ i n ɡ aː s
гуалинд	ɡ ʊa ɮ i n t
гуанз	ɡ ʊa n t͡s
гуанзанд	ɡ ʊa n t͡s a n t
гудамж	ɡ ʊ t a m t͡ʃ
гудамжаар	ɡ ʊ t a m t͡ʃ aː r
гудамжинд	ɡ ʊ t a m t͡ʃ i n t
гудамжнаас	ɡ ʊ t a m t͡ʃ n aː s
гудамжны	ɡ ʊ t a m t͡ʃ n iː
гудас	ɡ ʊ t a s
гуйв	ɡ ʊi w
гуйвлан	ɡ ʊi w ɮ a n
гуйгаа	ɡ ʊi ɡ aː
гуйгаад	ɡ ʊi ɡ aː t
гуйдаг	ɡ ʊi t a ɡ
гуйж	ɡ ʊi t͡ʃ
гуйлаа	ɡ ʊi ɮ aː
гуйланчлалыг	ɡ ʊi ɮ a n t͡ʃʰ ɮ a ɮ iː ɡ
гуйлгасангүй	ɡ ʊi ɮ ɡ a s a n ɡ u j
гуйлтад	ɡ ʊi ɮ tʰ a t
гуйна	ɡ ʊi n a
гуйсан	ɡ ʊi s a n
гуйсныг	ɡ ʊi s n iː ɡ
гуйх	ɡ ʊi x
гуйхгүй	ɡ ʊi x ɡ u j
гуйхдаа	ɡ ʊi x t aː
гулгаж	ɡ ʊ ɮ ɡ a t͡ʃ
гулган	ɡ ʊ ɮ ɡ a n
гулгуулаад	ɡ ʊ ɮ ɡ ʊː ɮ aː t
гулливерийн	ɡ ʊ ɮ ɮ i wʲ i r iː n
гунан	ɡ ʊ n a n
гуниг	ɡ ʊ n i ɡ
гунигаар	ɡ ʊ n i ɡ aː r
гунигийг	ɡ ʊ n i ɡ iː ɡ
гунигийн	ɡ ʊ n i ɡ iː n
гуниглаж	ɡ ʊ n i ɡ ɮ a t͡ʃ
гуниглах	ɡ ʊ n i ɡ ɮ a x
гунигт	ɡ ʊ n i ɡ tʰ
гунигтай	ɡ ʊ n i ɡ tʰ a j
гунхсан	ɡ ʊ n x s a n
гуньж	ɡ ʊ nʲ t͡ʃ
гуньхарч	ɡ ʊ nʲ x a r t͡ʃʰ
гуньхралтай	ɡ ʊ nʲ x r a ɮ tʰ a j
гуньхран	ɡ ʊ nʲ x r a n
гуперийг	ɡ ʊ pʰʲ i r iː ɡ
гурав	ɡ ʊ r a w
гуравдагч	ɡ ʊ r a w t a ɡ t͡ʃʰ
гуравдугаар	ɡ ʊ r a w t ʊ ɡ aː r
гуравны	ɡ ʊ r a w n iː
гуравхан	ɡ ʊ r a w x a n
гурваар	ɡ ʊ r w aː r
гурваас	ɡ ʊ r w aː s
гурван	ɡ ʊ r w a n
гурвантаа	ɡ ʊ r w a n tʰ aː
гурвуулаа	ɡ ʊ r w ʊː ɮ aː
гурвыг	ɡ ʊ r w iː ɡ
гурвын	ɡ ʊ r w iː n
гурилаа	ɡ ʊ r i ɮ aː
гурилаар	ɡ ʊ r i ɮ aː r
гурилыг	ɡ ʊ r i ɮ iː ɡ
гурилын	ɡ ʊ r i ɮ iː n
гутаав	ɡ ʊ tʰ aː w
гутаагүй	ɡ ʊ tʰ aː ɡ u j
гутаажээ	ɡ ʊ tʰ aː t͡ʃ ɛː
гутал	ɡ ʊ tʰ a ɮ
гуталтай	ɡ ʊ tʰ a ɮ tʰ a j
гутарсан	ɡ ʊ tʰ a r s a n
гутарч	ɡ ʊ tʰ a r t͡ʃʰ
гутлаараа	ɡ ʊ tʰ ɮ aː r aː
гутлаас	ɡ ʊ tʰ ɮ aː s
гутлыг	ɡ ʊ tʰ ɮ iː ɡ
гутлын	ɡ ʊ tʰ ɮ iː n
гутралаар	ɡ ʊ tʰ r a ɮ aː r
гутрах	ɡ ʊ tʰ r a x
гутрахдаа	ɡ ʊ tʰ r a x t aː
гуч	ɡ ʊ t͡ʃʰ
гучаад	ɡ ʊ t͡ʃʰ aː t
гучин	ɡ ʊ t͡ʃʰ i n
гуядан	ɡ ʊ j t a n
гуянд	ɡ ʊ j n t
гэв	ɡ ɛ w
гэвч	ɡ ɛ w t͡ʃʰ
гэвш	ɡ ɛ w ʃ
гэвэл	ɡ ɛ w ɛ ɮ
гэвээс	ɡ ɛ w ɛː s
гэгддэг	ɡ ɛ ɡ t t ɛ ɡ
гэгдэж	ɡ ɛ ɡ t ɛ t͡ʃ
гэгч	ɡ ɛ ɡ t͡ʃʰ
гэгчээр	ɡ ɛ ɡ t͡ʃʰ ɛː r
гэгэлзэн	ɡ ɛ ɡ ɛ ɮ t͡s ɛ n
гэгэлзээд	ɡ ɛ ɡ ɛ ɮ t͡s ɛː t
гэгээ	ɡ ɛ ɡ ɛː
гэгээн	ɡ ɛ ɡ ɛː n
гэгээнтэн	ɡ ɛ ɡ ɛː n tʰ ɛ n
гэгээрэл	ɡ ɛ ɡ ɛː r ɛ ɮ
гэгээрэхийг	ɡ ɛ ɡ ɛː r ɛ x iː ɡ
гэгээрэхийн	ɡ ɛ ɡ ɛː r ɛ x iː n
гэдгийг	ɡ ɛ t ɡ iː ɡ
гэдгээ	ɡ ɛ t ɡ ɛː
гэдгээрээ	ɡ ɛ t ɡ ɛː r ɛː
гэдгээс	ɡ ɛ t ɡ ɛː s
гэдэг	ɡ ɛ t ɛ ɡ
гэдэгт	ɡ ɛ t ɛ ɡ tʰ
гэдэгтэй	ɡ ɛ t ɛ ɡ tʰ ɛ j
гэдэгтээ	ɡ ɛ t ɛ ɡ tʰ ɛː
гэдэн	ɡ ɛ t ɛ n
гэдэс	ɡ ɛ t ɛ s
гэдэсний	ɡ ɛ t ɛ s n iː
гэж	ɡ ɛ t͡ʃ
гэжээ	ɡ ɛ t͡ʃ ɛː
гэзгээ	ɡ ɛ t͡s ɡ ɛː
гэзэгт	ɡ ɛ t͡s ɛ ɡ tʰ
гэлдэрч	ɡ ɛ ɮ t ɛ r t͡ʃʰ
гэлдэрье	ɡ ɛ ɮ t ɛ rʲ j i
гэлтгүй	ɡ ɛ ɮ tʰ ɡ u j
гэлтэй	ɡ ɛ ɮ tʰ ɛ j
гэлцдэг	ɡ ɛ ɮ t͡sʰ t ɛ ɡ
гэлцэв	ɡ ɛ ɮ t͡sʰ ɛ w
гэлцэвч	ɡ ɛ ɮ t͡sʰ ɛ w t͡ʃʰ
гэлцэнэ	ɡ ɛ ɮ t͡sʰ ɛ n ɛ
гэлцэх	ɡ ɛ ɮ t͡sʰ ɛ x
гэлэнмаа	ɡ ɛ ɮ ɛ n m aː
гэлээ	ɡ ɛ ɮ ɛː
гэлүгвагийн	ɡ ɛ ɮ u ɡ w a ɡ iː n
гэм	ɡ ɛ m
гэмгүй	ɡ ɛ m ɡ u j
гэмт	ɡ ɛ m tʰ
гэмтжээ	ɡ ɛ m tʰ t͡ʃ ɛː
гэмтлээс	ɡ ɛ m tʰ ɮ ɛː s
гэмтсэн	ɡ ɛ m tʰ s ɛ n
гэмтэж	ɡ ɛ m tʰ ɛ t͡ʃ
гэмтэй	ɡ ɛ m tʰ ɛ j
гэмтэлгүй	ɡ ɛ m tʰ ɛ ɮ ɡ u j
гэмтэх	ɡ ɛ m tʰ ɛ x
гэмтээжээ	ɡ ɛ m tʰ ɛː t͡ʃ ɛː
гэмтээлгүйгээр	ɡ ɛ m tʰ ɛː ɮ ɡ u j ɡ ɛː r
гэмтүүлснийг	ɡ ɛ m tʰ uː ɮ s n iː ɡ
гэмээ	ɡ ɛ m ɛː
гэмээр	ɡ ɛ m ɛː r
гэндальф	ɡ ɛ n t a ɮʲ f
гэндальфын	ɡ ɛ n t a ɮʲ f iː n
гэндэн	ɡ ɛ n t ɛ n
гэнлээ	ɡ ɛ n ɮ ɛː
гэнэ	ɡ ɛ n ɛ
гэнэгүй	ɡ ɛ n ɛ ɡ u j
гэнэдэж	ɡ ɛ n ɛ t ɛ t͡ʃ
гэнэм	ɡ ɛ n ɛ m
гэнэн	ɡ ɛ n ɛ n
гэнэт	ɡ ɛ n ɛ tʰ
гэнэтийн	ɡ ɛ n ɛ tʰ iː n
гэнээ	ɡ ɛ n ɛː
гэр	ɡ ɛ r
гэргий	ɡ ɛ r ɡ iː
гэрийг	ɡ ɛ r iː ɡ
гэрийн	ɡ ɛ r iː n
гэрийнх	ɡ ɛ r iː n x
гэрийнхэн	ɡ ɛ r iː n x ɛ n
гэрийнхээ	ɡ ɛ r iː n x ɛː
гэрлийг	ɡ ɛ r ɮ iː ɡ
гэрлийн	ɡ ɛ r ɮ iː n
гэрлэж	ɡ ɛ r ɮ ɛ t͡ʃ
гэрлэлт	ɡ ɛ r ɮ ɛ ɮ tʰ
гэрлэлтийн	ɡ ɛ r ɮ ɛ ɮ tʰ iː n
гэрлэсэн	ɡ ɛ r ɮ ɛ s ɛ n
гэрлэх	ɡ ɛ r ɮ ɛ x
гэрлэхэд	ɡ ɛ r ɮ ɛ x ɛ t
гэрлээ	ɡ ɛ r ɮ ɛː
гэрлээр	ɡ ɛ r ɮ ɛː r
гэрлээс	ɡ ɛ r ɮ ɛː s
гэрлүүлэх	ɡ ɛ r ɮ uː ɮ ɛ x
гэрлүүлэхийг	ɡ ɛ r ɮ uː ɮ ɛ x iː ɡ
гэрт	ɡ ɛ r tʰ
гэртээ	ɡ ɛ r tʰ ɛː
гэрч	ɡ ɛ r t͡ʃʰ
гэрчийн	ɡ ɛ r t͡ʃʰ iː n
гэрчилгээний	ɡ ɛ r t͡ʃʰ i ɮ ɡ ɛː n iː
гэрчилдэг	ɡ ɛ r t͡ʃʰ i ɮ t ɛ ɡ
гэрчилнэ	ɡ ɛ r t͡ʃʰ i ɮ n ɛ
гэрчлэх	ɡ ɛ r t͡ʃʰ ɮ ɛ x
гэрэл	ɡ ɛ r ɛ ɮ
гэрэлд	ɡ ɛ r ɛ ɮ t
гэрэлмаад	ɡ ɛ r ɛ ɮ m aː t
гэрэлт	ɡ ɛ r ɛ ɮ tʰ
гэрэлтэж	ɡ ɛ r ɛ ɮ tʰ ɛ t͡ʃ
гэрэлтэй	ɡ ɛ r ɛ ɮ tʰ ɛ j
гэрэлтэйд	ɡ ɛ r ɛ ɮ tʰ ɛ j t
гэрээ	ɡ ɛ r ɛː
гэрээг	ɡ ɛ r ɛː ɡ
гэрээний	ɡ ɛ r ɛː n iː
гэрээр	ɡ ɛ r ɛː r
гэрээс	ɡ ɛ r ɛː s
гэрээслүүлэхэд	ɡ ɛ r ɛː s ɮ uː ɮ ɛ x ɛ t
гэрээсээ	ɡ ɛ r ɛː s ɛː
гэрүүдийн	ɡ ɛ r uː t iː n
гэсгээн	ɡ ɛ s ɡ ɛː n
гэсгээсэн	ɡ ɛ s ɡ ɛː s ɛ n
гэснийг	ɡ ɛ s n iː ɡ
гэснээ	ɡ ɛ s n ɛː
гэснээс	ɡ ɛ s n ɛː s
гэсэн	ɡ ɛ s ɛ n
гэсэнд	ɡ ɛ s ɛ n t
гэсэндээ	ɡ ɛ s ɛ n t ɛː
гэсэр	ɡ ɛ s ɛ r
гэсээр	ɡ ɛ s ɛː r
гэтлэх	ɡ ɛ tʰ ɮ ɛ x
гэтлээ	ɡ ɛ tʰ ɮ ɛː
гэтэж	ɡ ɛ tʰ ɛ t͡ʃ
гэтэл	ɡ ɛ tʰ ɛ ɮ
гэтэлгэхэд	ɡ ɛ tʰ ɛ ɮ ɡ ɛ x ɛ t
гэтэн	ɡ ɛ tʰ ɛ n
гэх	ɡ ɛ x
гэхгүй	ɡ ɛ x ɡ u j
гэхдээ	ɡ ɛ x t ɛː
гэхийг	ɡ ɛ x iː ɡ
гэхийн	ɡ ɛ x iː n
гэхлээр	ɡ ɛ x ɮ ɛː r
гэхэд	ɡ ɛ x ɛ t
гэхээ	ɡ ɛ x ɛː
гэхээр	ɡ ɛ x ɛː r
гэхээс	ɡ ɛ x ɛː s
гэхээсээ	ɡ ɛ x ɛː s ɛː
гэцгээв	ɡ ɛ t͡sʰ ɡ ɛː w
гэцгээж	ɡ ɛ t͡sʰ ɡ ɛː t͡ʃ
гэчихэд	ɡ ɛ t͡ʃʰ i x ɛ t
гээ	ɡ ɛː
гээв	ɡ ɛː w
гээгүй	ɡ ɛː ɡ u j
гээд	ɡ ɛː t
гээрэй	ɡ ɛː r ɛ j
гээч	ɡ ɛː t͡ʃʰ
гял	ɡʲ a ɮ
гялайлгах	ɡʲ a ɮ a j ɮ ɡ a x
гялайн	ɡʲ a ɮ a j n
гялалзаж	ɡʲ a ɮ a ɮ t͡s a t͡ʃ
гялалзан	ɡʲ a ɮ a ɮ t͡s a n
гялалзана	ɡʲ a ɮ a ɮ t͡s a n a
гялалзахыг	ɡʲ a ɮ a ɮ t͡s a x iː ɡ
гялалзсан	ɡʲ a ɮ a ɮ t͡s s a n
гялалзуулан	ɡʲ a ɮ a ɮ t͡s ʊː ɮ a n
гялгар	ɡʲ a ɮ ɡ a r
гялс	ɡʲ a ɮ s
гялсхийгээд	ɡʲ a ɮ s x iː ɡ ɛː t
гялсхийн	ɡʲ a ɮ s x iː n
гялтганан	ɡʲ a ɮ tʰ ɡ a n a n
гялтганана	ɡʲ a ɮ tʰ ɡ a n a n a
гярхай	ɡʲ a r x a j
гүвээ	ɡ u w ɛː
гүд	ɡ u t
гүехэн	ɡ u j x ɛ n
гүжирмэг	ɡ u t͡ʃ i r m ɛ ɡ
гүзээгээ	ɡ u t͡s ɛː ɡ ɛː
гүйв	ɡ u j w
гүйгээд	ɡ u j ɡ ɛː t
гүйдэг	ɡ u j t ɛ ɡ
гүйж	ɡ u j t͡ʃ
гүйлгээ	ɡ u j ɮ ɡ ɛː
гүйлгээд	ɡ u j ɮ ɡ ɛː t
гүйлгээний	ɡ u j ɮ ɡ ɛː n iː
гүйлдэнэ	ɡ u j ɮ t ɛ n ɛ
гүйлээ	ɡ u j ɮ ɛː
гүйн	ɡ u j n
гүйсэн	ɡ u j s ɛ n
гүйх	ɡ u j x
гүйхэд	ɡ u j x ɛ t
гүйцгээв	ɡ u j t͡sʰ ɡ ɛː w
гүйцгээлээ	ɡ u j t͡sʰ ɡ ɛː ɮ ɛː
гүйцлээ	ɡ u j t͡sʰ ɮ ɛː
гүйцсэн	ɡ u j t͡sʰ s ɛ n
гүйцэв	ɡ u j t͡sʰ ɛ w
гүйцэгддэггүй	ɡ u j t͡sʰ ɛ ɡ t t ɛ ɡ ɡ u j
гүйцэгдэхгүй	ɡ u j t͡sʰ ɛ ɡ t ɛ x ɡ u j
гүйцэд	ɡ u j t͡sʰ ɛ t
гүйцэж	ɡ u j t͡sʰ ɛ t͡ʃ
гүйцэтгэв	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ w
гүйцэтгэгч	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ ɡ t͡ʃʰ
гүйцэтгэгчдэд	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ ɡ t͡ʃʰ t ɛ t
гүйцэтгэгчээр	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ ɡ t͡ʃʰ ɛː r
гүйцэтгэдэг	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ t ɛ ɡ
гүйцэтгэж	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ t͡ʃ
гүйцэтгэлийн	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ ɮ iː n
гүйцэтгэнэ	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ n ɛ
гүйцэтгэснээ	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ s n ɛː
гүйцэтгэсэн	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ s ɛ n
гүйцэтгэх	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ x
гүйцэтгэхдээ	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ x t ɛː
гүйцэтгэхийн	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ x iː n
гүйцэтгэхээс	ɡ u j t͡sʰ ɛ tʰ ɡ ɛ x ɛː s
гүйцэтгээрэй	ɡ u j t͡sʰ ɛ tʰ ɡ ɛː r ɛ j
гүйцэхгүй	ɡ u j t͡sʰ ɛ x ɡ u j
гүйцээв	ɡ u j t͡sʰ ɛː w
гүйцээгүй	ɡ u j t͡sʰ ɛː ɡ u j
гүйцээд	ɡ u j t͡sʰ ɛː t
гүйцээнэ	ɡ u j t͡sʰ ɛː n ɛ
гүйцээсэн	ɡ u j t͡sʰ ɛː s ɛ n
гүйчихдэг	ɡ u j t͡ʃʰ i x t ɛ ɡ
гүмд	ɡ u m t
гүн	ɡ u n
гүнгэрэг	ɡ u n ɡ ɛ r ɛ ɡ
гүнд	ɡ u n t
гүнж	ɡ u n t͡ʃ
гүнзгий	ɡ u n t͡s ɡ iː
гүнзгийрүүлэх	ɡ u n t͡s ɡ iː r uː ɮ ɛ x
гүнээс	ɡ u n ɛː s
гүрвэл	ɡ u r w ɛ ɮ
гүрвэлээр	ɡ u r w ɛ ɮ ɛː r
гүрийхээс	ɡ u r iː x ɛː s
гүрмийг	ɡ u r m iː ɡ
гүрний	ɡ u r n iː
гүрнүүдийн	ɡ u r n uː t iː n
гүрэм	ɡ u r ɛ m
гүрэмч	ɡ u r ɛ m t͡ʃʰ
гүрэн	ɡ u r ɛ n
гүсэнтүгийн	ɡ u s ɛ n tʰ u ɡ iː n
гүтгэлэг	ɡ u tʰ ɡ ɛ ɮ ɛ ɡ
гүтгүүлж	ɡ u tʰ ɡ uː ɮ t͡ʃ
гүү	ɡ uː
гүүг	ɡ uː ɡ
гүүгээ	ɡ uː ɡ ɛː
гүүр	ɡ uː r
гөлрүүлж	ɡ o ɮ r uː ɮ t͡ʃ
гөлөг	ɡ o ɮ o ɡ
гөлөглөдөг	ɡ o ɮ o ɡ ɮ o t o ɡ
гөлөглөж	ɡ o ɮ o ɡ ɮ o t͡ʃ
гөлөгнөв	ɡ o ɮ o ɡ n o w
гөлөрч	ɡ o ɮ o r t͡ʃʰ
гөрөө	ɡ o r oː
гөрөөс	ɡ o r oː s
гөрөөсний	ɡ o r oː s n iː
гөхөлтэй	ɡ o x o ɮ tʰ ɛ j
д	t
даа	t aː
даавуу	t aː w ʊː
даавууг	t aː w ʊː ɡ
даавуунууд	t aː w ʊː n ʊː t
даавууны	t aː w ʊː n iː
дааганаас	t aː ɡ a n aː s
дааж	t aː t͡ʃ
даажин	t aː t͡ʃ i n
даалгавар	t aː ɮ ɡ a w a r
даалгаварт	t aː ɮ ɡ a w a r tʰ
даалгавраа	t aː ɮ ɡ a w r aː
даалгаврыг	t aː ɮ ɡ a w r iː ɡ
даамаар	t aː m aː r
даамжирсан	t aː m t͡ʃ i r s a n
даамлаа	t aː m ɮ aː
даан	t aː n
даанч	t aː n t͡ʃʰ
даапаалж	t aː pʰ aː ɮ t͡ʃ
даарах	t aː r a x
даарснаас	t aː r s n aː s
даасан	t aː s a n
даатгалыг	t aː tʰ ɡ a ɮ iː ɡ
даатгалын	t aː tʰ ɡ a ɮ iː n
даатгахад	t aː tʰ ɡ a x a t
даатгуулсан	t aː tʰ ɡ ʊː ɮ s a n
даахгүй	t aː x ɡ u j
даац	t aː t͡sʰ
даашинз	t aː ʃ i n t͡s
даашинзаа	t aː ʃ i n t͡s aː
даашинзтай	t aː ʃ i n t͡s tʰ a j
дав	t a w
даваа	t a w aː
даваагаа	t a w aː ɡ aː
даваад	t a w aː t
давааны	t a w aː n iː
давалгаа	t a w a ɮ ɡ aː
давамгайлж	t a w a m ɡ a j ɮ t͡ʃ
даван	t a w a n
давах	t a w a x
давбал	t a w p a ɮ
давж	t a w t͡ʃ
давжаа	t a w t͡ʃ aː
давжээ	t a w t͡ʃ ɛː
давилуун	t a w i ɮ ʊː n
давлагаа	t a w ɮ a ɡ aː
давна	t a w n a
давсалж	t a w s a ɮ t͡ʃ
давсан	t a w s a n
давт	t a w tʰ
давтав	t a w tʰ a w
давтагдаж	t a w tʰ a ɡ t a t͡ʃ
давтагддаг	t a w tʰ a ɡ t t a ɡ
давтагдсан	t a w tʰ a ɡ t s a n
давтал	t a w tʰ a ɮ
давтамжийг	t a w tʰ a m t͡ʃ iː ɡ
давтамжит	t a w tʰ a m t͡ʃ i tʰ
давтамжтай	t a w tʰ a m t͡ʃ tʰ a j
давтан	t a w tʰ a n
давтана	t a w tʰ a n a
давтах	t a w tʰ a x
давтахаас	t a w tʰ a x aː s
давтвал	t a w tʰ w a ɮ
давтсан	t a w tʰ s a n
давуу	t a w ʊː
давуулах	t a w ʊː ɮ a x
давхар	t a w x a r
давхарга	t a w x a r ɡ a
давхаргынханд	t a w x a r ɡ iː n x a n t
давхарруу	t a w x a r r ʊː
давхарт	t a w x a r tʰ
давхацсан	t a w x a t͡sʰ s a n
давхиад	t a w x ia t
давхив	t a w x i w
давхивал	t a w x i w a ɮ
давхиж	t a w x i t͡ʃ
давхилдана	t a w x i ɮ t a n a
давхин	t a w x i n
давхисаар	t a w x i s aː r
давхиулан	t a w x iʊ ɮ a n
давхихад	t a w x i x a t
давхраа	t a w x r aː
давхраас	t a w x r aː s
давхцан	t a w x t͡sʰ a n
давчдаж	t a w t͡ʃʰ t a t͡ʃ
давчихлаа	t a w t͡ʃʰ i x ɮ aː
давчуухан	t a w t͡ʃʰ ʊː x a n
давчхан	t a w t͡ʃʰ x a n
давшив	t a w ʃ i w
давшилтад	t a w ʃ i ɮ tʰ a t
давшилтын	t a w ʃ i ɮ tʰ iː n
давших	t a w ʃ i x
давын	t a w iː n
даг	t a ɡ
дагаад	t a ɡ aː t
дагавар	t a ɡ a w a r
дагагчийн	t a ɡ a ɡ t͡ʃʰ iː n
дагадаг	t a ɡ a t a ɡ
дагаж	t a ɡ a t͡ʃ
дагалаа	t a ɡ a ɮ aː
дагалдан	t a ɡ a ɮ t a n
дагалдсан	t a ɡ a ɮ t s a n
даган	t a ɡ a n
дагана	t a ɡ a n a
дагасан	t a ɡ a s a n
дагах	t a ɡ a x
дагвын	t a ɡ w iː n
дагданы	t a ɡ t a n iː
дагжин	t a ɡ t͡ʃ i n
